,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
12,2,3,3,4,4,4,3,3,3,4,3,4,0,3,3,3,26,27,27,25,27,27,26,27,27,27,28,26,28,25,26,27,27,28,27,27,28,27,27,24,11,27,74,76,73,71,72,74,75,73,74,71,77,74,74,73,74,75,75,76,74,76,73,73,73,74,75,74,75,72,74,73,74,74,76,74,73,74,74,74,74,79,79,88,80,87,78,77,85,76,81,86,87,88,77,75,85,78,73,77,89,87,79,75,85,79,78,77,85,78,80,86,88,79,77,87,88,77,75,80
13,1,2,2,3,3,3,2,2,2,3,2,3,3,0,2,2,25,26,26,24,26,26,25,26,26,26,27,25,27,24,25,26,26,27,26,26,27,26,26,23,10,26,75,77,74,72,73,75,76,74,75,72,78,75,75,74,75,76,76,77,75,77,74,74,74,75,76,75,76,73,75,74,75,75,77,75,74,75,75,75,75,79,79,88,80,87,78,77,85,76,81,86,87,88,77,75,85,78,73,77,89,87,79,75,85,79,78,77,85,78,80,86,88,79,77,87,88,77,75,80
14,1,2,2,3,3,3,2,2,2,3,2,3,3,2,0,2,25,26,26,24,26,26,25,26,26,26,27,25,27,24,25,26,26,27,26,26,27,26,26,23,10,26,75,77,74,72,73,75,76,74,75,72,78,75,75,74,75,76,76,77,75,77,74,74,74,75,76,75,76,73,75,74,75,75,77,75,74,75,75,75,75,79,79,88,80,87,78,77,85,76,81,86,87,88,77,75,85,78,73,77,89,87,79,75,85,79,78,77,85,78,80,86,88,79,77,87,88,77,75,80
15,1,2,2,3,3,3,2,2,2,3,2,3,3,2,2,0,25,26,26,24,26,26,25,26,26,26,27,25,27,24,25,26,26,27,26,26,27,26,26,23,10,26,74,76,73,71,72,74,75,73,74,71,77,74,74,73,74,75,75,76,74,76,73,73,73,74,75,74,75,72,74,73,74,74,76,74,73,74,74,74,74,78,78,87,79,86,77,76,84,75,80,85,86,87,76,74,84,77,72,76,88,86,78,74,84,78,77,76,84,77,79,85,87,78,76,86,87,76,74,79
16,24,25,25,26,26,26,25,24,25,23,25,26,26,25,25,25,0,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,4,2,1,2,1,2,3,16,1,77,80,78,76,78,79,78,79,79,76,81,79,79,76,78,78,78,79,78,77,81,81,81,82,82,82,83,81,82,82,82,81,84,82,83,82,82,81,82,84,84,92,85,86,83,82,89,79,83,89,86,85,82,81,91,83,80,82,88,89,82,82,91,85,83,83,90,83,84,90,85,85,82,86,87,82,81,86
17,25,26,26,27,27,27,26,25,25,24,26,27,27,26,26,26,1,0,2,2,2,2,2,3,3,2,3,3,3,2,3,2,2,5,3,2,3,2,3,4,17,2,78,81,79,77,79,80,79,80,80,77,82,80,80,77,79,79,79,80,79,78,82,82,82,83,83,83,84,82,83,83,83,82,85,83,84,83,83,82,83,85,85,93,86,87,84,83,90,80,84,90,87,86,83,82,92,84,81,83,89,90,83,83,92,86,84,84,91,84,85,91,86,86,83,87,88,83,82,87
18,25,26,26,27,27,27,26,25,26,24,26,27,27,26,26,26,1,2,0,2,2,2,2,3,3,2,3,3,3,2,3,2,2,5,3,2,3,2,3,4,17,2,77,80,78,76,78,79,78,79,79,76,81,79,79,76,78,78,78,79,78,77,81,81,81,82,82,82,83,81,82,82,82,81,84,82,83,82,82,81,82,84,84,92,85,86,83,82,89,79,83,89,86,85,82,81,91,83,80,82,88,89,82,82,91,85,83,83,90,83,84,90,85,85,82,86,87,82,81,86
19,23,24,24,25,25,25,24,23,24,22,24,25,25,24,24,24,1,2,2,0,2,2,2,3,3,2,3,3,3,2,3,2,2,5,3,2,3,2,3,2,15,2,77,80,78,76,78,79,78,79,79,76,81,79,79,76,78,78,78,79,78,77,81,81,81,82,82,82,83,81,82,82,82,81,84,82,83,82,82,81,82,84,84,92,85,86,83,82,89,79,83,89,86,85,82,81,91,83,80,82,88,89,82,82,91,85,83,83,90,83,84,90,85,85,82,86,87,82,81,86
20,25,26,26,27,27,27,26,25,26,24,26,27,27,26,26,26,1,2,2,2,0,2,2,3,3,2,3,3,3,2,3,2,2,5,3,2,3,2,3,4,17,2,78,81,79,77,79,80,79,80,80,77,82,80,80,77,79,79,79,80,79,78,82,82,82,83,83,83,84,82,83,83,83,82,85,83,84,83,83,82,83,85,85,93,86,87,84,83,90,80,84,90,87,86,83,82,92,84,81,83,89,90,83,83,92,86,84,84,91,84,85,91,86,86,83,87,88,83,82,87
21,25,26,26,27,27,27,26,25,26,24,26,27,27,26,26,26,1,2,2,2,2,0,2,3,3,2,3,3,3,2,3,2,2,5,3,2,3,2,3,4,17,2,78,81,79,77,79,80,79,80,80,77,82,80,80,77,79,79,79,80,79,78,82,82,82,83,83,83,84,82,83,83,83,82,85,83,84,83,83,82,83,85,85,93,86,87,84,83,90,80,84,90,87,86,83,82,92,84,81,83,89,90,83,83,92,86,84,84,91,84,85,91,86,86,83,87,88,83,82,87
